date_range_start,date_range_end
2025-12-22,2026-01-01
2025-12-11,2025-12-21
2025-11-28,2025-12-10
2025-11-04,2025-11-27
2025-10-31,2025-11-03
2025-09-21,2025-10-30
2025-08-27,2025-09-20
2025-07-22,2025-08-26
2025-07-17,2025-07-21
2025-07-08,2025-07-16
2025-05-18,2025-07-07
2025-03-23,2025-05-17
2024-12-22,2025-03-22
2024-11-25,2024-12-21
2024-10-30,2024-11-24
